major,occ_uri
Accounting & Finance,http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21
Accounting & Finance,http://data.europa.eu/esco/occupation/1f665529-96e9-46c1-99f4-9ffbf9ffa036
Accounting & Finance,http://data.europa.eu/esco/occupation/21de0f3b-a71a-4263-a9ba-90c5f3721b4d
Accounting & Finance,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f
Accounting & Finance,http://data.europa.eu/esco/occupation/35fbb8cd-c044-49a1-850c-010481c99b4a
Accounting & Finance,http://data.europa.eu/esco/occupation/4a39fddb-17e7-4431-be03-613edab8d1c8
Accounting & Finance,http://data.europa.eu/esco/occupation/580c98d4-fb97-4597-864c-54140f058f1b
Accounting & Finance,http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723
Accounting & Finance,http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Accounting & Finance,http://data.europa.eu/esco/occupation/60bc7374-9fa1-4bbd-b936-2676fca0bfb6
Accounting & Finance,http://data.europa.eu/esco/occupation/61ed67cd-67d7-44d8-bc2d-47fc79110a59
Accounting & Finance,http://data.europa.eu/esco/occupation/6e6e44ba-d9f0-403b-93d4-a8d4bd67787a
Accounting & Finance,http://data.europa.eu/esco/occupation/6f7c1e84-8162-4c20-a575-b57ff624eef5
Accounting & Finance,http://data.europa.eu/esco/occupation/76a1a76c-b014-4600-8901-56cb936de7ed
Accounting & Finance,http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830
Accounting & Finance,http://data.europa.eu/esco/occupation/7a6ca615-a2bc-499d-8288-d186ce2594ea
Accounting & Finance,http://data.europa.eu/esco/occupation/84fabf82-4abf-4f41-99aa-55718a2e500b
Accounting & Finance,http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c
Accounting & Finance,http://data.europa.eu/esco/occupation/a04eedcf-8424-475a-8dc5-f30a9da4b151
Accounting & Finance,http://data.europa.eu/esco/occupation/a78d8e2b-fe31-447f-8694-38ed7198d143
Accounting & Finance,http://data.europa.eu/esco/occupation/b3e459a2-0103-4182-8882-c255d474a7ff
